,City,Max Temperature,Humidity,Cloudiness,Wind Speed,Latitude,Longitude
44,Kruisfontein,64.99,92,98,1.01,-34.0033,24.7314
45,Gwadar,65.43,56,0,6.64,25.1216,62.3254
46,Esim,80.24,85,67,9.6,4.8699,-2.2405
47,Marzuq,60.55,59,0,4.09,14.4,46.4667
48,Cidreira,72.41,69,0,8.93,-30.1811,-50.2056
49,Arman',10.8,84,100,17.9,59.7,150.1667
50,Avarua,84.2,74,20,13.8,-21.2078,-159.775
51,Norman Wells,-20.2,69,40,3.44,65.282,-126.8329
52,Kapaa,75.99,56,1,5.75,22.0752,-159.319
53,Saint-Philippe,80.6,69,90,3.44,-21.3585,55.7679
54,Menongue,65.05,94,100,1.83,-14.6585,17.691
55,Bambous Virieux,80.6,74,20,8.05,-20.3428,57.7575
56,Nelson Bay,73.0,73,40,13.8,-32.7167,152.15
57,Leopold,60.8,67,90,11.5,-38.1833,144.4667
58,Tiksi,-28.37,86,37,5.44,71.6872,128.8694
59,Arraial do Cabo,73.4,88,75,6.91,-22.9661,-42.0278
60,Doha,66.2,77,0,9.22,25.2867,51.5333
61,Hambantota,76.78,81,14,15.52,6.1241,81.1185
62,Puerto Ayora,82.4,74,75,13.8,-0.7393,-90.3518
63,Lufilufi,82.4,89,75,23.02,-13.8745,-171.5986
64,Yellowknife,-29.99,68,1,6.91,62.456,-114.3525
65,Saint Paul Harbor,35.6,48,1,4.09,57.79,-152.4072
66,Skjervøy,29.05,91,100,17.05,70.0311,20.9714
67,Port Alfred,66.0,95,100,9.69,-33.5906,26.891
68,Lincoln,5.0,82,100,7.0,40.8,-96.667
69,Chui,69.1,72,32,10.38,-33.6971,-53.4616
70,Cabo San Lucas,75.0,53,20,11.5,22.8909,-109.9124
71,Port Lincoln,60.93,75,95,14.94,-34.7333,135.8667
72,Torbay,30.0,69,20,28.77,47.6666,-52.7314
73,Sitka,35.6,30,40,6.91,57.0531,-135.33
74,Nava,77.0,44,1,16.11,28.4167,-100.7667
75,Peniche,57.99,92,93,20.0,39.3558,-9.3811
76,Riachão das Neves,69.85,86,100,3.11,-11.7461,-44.91
77,Cartagena del Chairá,89.26,59,10,2.04,1.3349,-74.8429
78,Upernavik,18.21,79,2,3.24,72.7868,-56.1549
79,Yar-Sale,-10.57,89,100,23.51,66.8333,70.8333
80,Sungai Raya,74.91,90,99,5.7,0.7,108.9
81,Puquio,54.5,72,99,8.39,-14.7,-74.1333
82,Cape Town,66.99,68,0,18.41,-33.9258,18.4232
83,Zhangye,26.89,72,71,1.63,38.9342,100.4517
84,Dalhousie,41.02,57,0,6.24,32.5333,75.9833
85,Fortuna,55.0,81,20,12.66,40.5982,-124.1573
86,West Wendover,55.4,8,1,25.32,40.7391,-114.0733
87,Shemonaīkha,27.3,97,67,10.78,50.6328,81.9056
88,Dhārchula,50.4,32,0,7.0,29.85,80.5333
89,Prince Rupert,33.8,55,1,10.36,54.3161,-130.3201
90,Leningradskiy,-14.66,82,0,7.34,69.3833,178.4167
91,Qaanaaq,13.08,85,65,6.93,77.484,-69.3632
92,George Town,78.8,83,20,1.14,5.4112,100.3354
93,Rantepao,66.16,87,84,2.84,-2.9701,119.8978
94,Nanortalik,29.79,88,94,12.68,60.1432,-45.2371
95,Atuona,79.59,75,27,21.03,-9.8,-139.0333
96,Kavieng,83.95,74,63,9.46,-2.5744,150.7967
97,Ulladulla,64.99,77,75,8.05,-35.35,150.4667
98,Lebu,61.61,83,10,4.7,-37.6167,-73.65
99,Busselton,62.01,99,84,1.99,-33.65,115.3333
100,Mayor Pablo Lagerenza,89.98,24,18,6.02,-19.9309,-60.7718
101,Rikitea,77.65,72,97,13.13,-23.1203,-134.9692
102,Vila Velha,70.0,94,90,3.44,-20.3297,-40.2925
103,Chokurdakh,-18.11,88,98,8.12,70.6333,147.9167
104,Valparaíso,66.2,63,0,6.91,-33.0393,-71.6273
105,Masterton,70.0,74,0,5.01,-40.9597,175.6575
106,São Miguel do Araguaia,70.86,95,100,6.58,-13.275,-50.1628
107,Al Bardīyah,65.37,44,99,16.8,31.7561,25.0865
108,Bredasdorp,60.8,77,5,4.61,-34.5322,20.0403
109,Makokou,70.9,94,41,3.51,0.5738,12.8642
110,Philadelphia,35.6,93,75,6.91,39.9523,-75.1638
111,Ust-Nera,-6.72,76,100,6.53,64.5667,143.2
112,Prainha,85.78,54,83,2.48,-1.8,-53.48
113,Tabou,79.18,88,93,7.83,4.423,-7.3528
114,Spirit River,-25.6,68,100,2.3,55.7833,-118.8361
115,Goderich,12.2,67,100,14.97,43.7501,-81.7165
116,Baoying,35.6,80,92,10.22,33.2292,119.3092
117,Kupang,75.2,100,75,10.4,-10.1667,123.5833
118,Airai,60.94,100,100,2.53,-8.9266,125.4092
119,Moa,80.11,79,27,4.54,20.6569,-74.9403
120,Guerrero Negro,76.42,20,0,10.76,27.9769,-114.0611
121,Chicama,73.4,83,0,9.22,-7.8447,-79.1469
122,Mataura,67.14,50,98,3.09,-46.1927,168.8643
123,Kuching,75.2,94,40,1.14,1.55,110.3333
124,Ponta do Sol,59.0,72,39,5.99,32.6667,-17.1
125,Andra,-1.34,93,100,10.87,62.5147,65.8878
126,Constitución,63.91,73,2,7.78,-35.3333,-72.4167
127,Port Keats,79.02,86,100,6.29,-14.25,129.55
128,Demba,69.67,87,100,2.17,-5.51,22.2667
129,Iqaluit,30.2,69,90,18.41,63.7506,-68.5145
130,Katsuura,42.8,49,40,10.36,35.1333,140.3
131,Chiredzi,73.09,68,89,1.48,-21.05,31.6667
132,Saldanha,62.6,72,0,14.97,-33.0117,17.9442
133,Pecos,77.0,7,1,17.27,31.4229,-103.4932
134,Ilulissat,21.2,42,0,16.11,69.2167,-51.1
135,Ancud,75.0,43,0,5.01,-41.8697,-73.8203
136,Vryburg,68.58,77,0,10.92,-26.9566,24.7284
137,Lagoa,57.85,76,97,18.97,39.05,-27.9833
138,Hisar,54.82,41,0,3.69,29.1667,75.7167
139,Pisco,75.2,78,90,9.22,-13.7,-76.2167
140,Alofi,84.2,74,40,12.66,-19.0595,-169.9187
141,Kangaatsiaq,20.07,85,0,19.19,68.3065,-53.4641
142,Mar del Plata,61.0,88,90,13.8,-38.0023,-57.5575
143,Broome,26.01,79,90,10.36,42.2506,-75.833
144,Olinda,80.6,69,40,9.22,-8.0089,-34.8553
145,Celestún,77.41,76,1,10.76,20.8667,-90.4
146,Nuuk,30.2,43,20,11.5,64.1835,-51.7216
147,Port Antonio,84.99,65,20,25.32,18.18,-76.4612
148,Khāsh,45.73,43,0,3.47,28.2211,61.2158
149,Sirte,69.03,29,100,14.25,31.2089,16.5887
150,Longyearbyen,15.8,48,20,16.11,78.2186,15.6401
151,Dunedin,61.0,88,89,1.01,-45.8742,170.5036
152,Manono,70.23,93,97,1.52,-7.3,27.4167
153,Meulaboh,76.46,87,46,4.5,4.1363,96.1285
154,Anito,77.95,88,100,15.01,12.4497,125.2886
155,Bara,73.92,20,74,8.03,10.3744,10.7288
156,Severobaykal'sk,7.29,93,100,4.38,55.65,109.3167
157,Pedasí,82.22,75,77,9.84,7.5333,-80.0333
158,Cherskiy,-3.68,67,6,1.99,68.75,161.3
159,Hilo,82.4,42,1,4.61,19.7297,-155.09
160,Pevek,-7.19,86,0,2.57,69.7008,170.3133
161,Shafranovo,-7.76,89,100,13.44,53.9667,54.7667
162,Mossamedes,72.99,75,100,4.43,-15.1961,12.1522
163,Sivas Province,33.8,75,0,9.22,39.7916,37.0019
164,Bubaque,77.61,67,14,12.73,11.2833,-15.8333
165,Natal,82.4,78,20,12.66,-5.795,-35.2094
166,Luena,64.65,95,100,6.55,-11.7833,19.9167
167,Hong Kong,66.0,83,0,11.63,22.2855,114.1577
168,Angoche,79.77,85,47,6.35,-16.2325,39.9086
169,Kuusamo,12.2,85,75,11.5,65.9667,29.1833
170,Nikolskoye,17.6,79,75,13.42,59.7035,30.7861
171,Otuzco,73.4,83,0,9.22,-7.9,-78.5833
172,Bac Lieu,75.02,85,5,14.56,9.285,105.7244
173,El Chimbo,86.0,37,20,11.5,14.1333,-87.1167
174,Thompson,-25.6,68,75,17.27,55.7435,-97.8558
175,Codrington,57.83,69,100,11.95,-38.2667,141.9667
176,Arlit,68.09,19,100,2.62,18.7369,7.3853
177,Cayenne,80.6,78,75,11.5,4.9333,-52.3333
178,Pandamatenga,66.79,92,100,5.17,-18.5278,25.627
179,Tuktoyaktuk,-27.4,75,75,17.27,69.4541,-133.0374
180,San Quintín,65.82,51,0,9.84,30.4833,-115.95
181,Merta,56.88,36,0,4.81,26.65,74.0333
182,Port-Gentil,78.8,89,20,6.55,-0.7193,8.7815
183,Esperance,62.6,88,19,11.5,-33.8667,121.9
184,Wanning,68.34,90,40,4.03,18.8003,110.3967
185,Shelburne,14.0,84,99,11.41,44.0787,-80.2041
186,Knin,57.2,88,75,6.91,44.0439,16.2
187,Riyadh,59.0,67,0,9.22,24.6877,46.7219
188,Port Elizabeth,66.2,94,90,11.5,-33.918,25.5701
189,Khovd,12.2,87,100,0.34,48.0056,91.6419
190,Sumbawanga,62.6,94,20,1.68,-7.9667,31.6167
191,Puerto Madero,87.8,51,1,8.05,14.7208,-92.4215
192,Palu,75.96,82,59,1.83,-0.8917,119.8707
193,Plettenberg Bay,64.83,80,84,6.35,-34.0527,23.3716
194,Kaitangata,66.0,72,100,7.0,-46.2817,169.8464
195,Motygino,27.59,96,92,10.67,58.1831,94.7592
196,Belmonte,78.8,78,75,10.36,-15.8631,-38.8828
197,Chapais,14.0,85,75,5.75,49.7834,-74.8492
198,Madang,77.23,87,100,4.23,-5.2246,145.7966
199,Muskego,1.99,50,1,9.22,42.9058,-88.139
200,Oktyabr'skiy,-4.07,89,100,13.71,54.4815,53.471
201,Carbonear,30.0,69,20,28.77,47.7332,-53.2148
202,Esmeralda,80.6,78,75,10.36,21.8525,-78.1169
203,Vao,77.27,83,84,5.12,-22.6667,167.4833
204,Kirakira,84.13,69,20,6.42,-10.4544,161.9205
205,Cananéia,74.37,67,0,5.99,-25.0147,-47.9267
206,Caravelas,76.48,90,100,7.78,-17.7125,-39.2481
207,Kinango,76.28,85,100,2.66,-4.1372,39.3153
208,Berezovyy,0.0,83,100,5.41,51.6667,135.7
209,Odienné,78.84,28,0,0.78,9.51,-7.5692
210,Te Anau,62.78,64,100,3.15,-45.4167,167.7167
211,Trairi,80.28,78,40,9.33,-3.2778,-39.2689
212,Aksu,29.01,84,96,1.99,41.1231,80.2644
213,Vardø,21.2,79,75,24.16,70.3705,31.1107
214,Isla Vista,64.99,82,1,8.05,34.4133,-119.861
215,Havøysund,26.6,74,75,10.36,70.9963,24.6622
216,Ciudad Sabinas Hidalgo,76.51,26,49,10.2,26.5,-100.1667
217,Westerland,28.4,74,90,27.63,54.9079,8.3033
218,Karratha,77.29,71,4,6.8,-20.7377,116.8463
219,Calama,75.2,29,0,28.77,-22.4667,-68.9333
220,Conceição do Araguaia,73.85,92,100,4.09,-8.2578,-49.2647
221,Marabu,77.0,100,40,3.44,4.4148,114.0089
222,Ola,12.38,86,100,21.83,59.5833,151.2833
223,Xichang,44.22,74,91,3.36,27.8964,102.2634
224,Ayan,-5.96,85,100,21.59,56.45,138.1667
225,Mahébourg,80.6,74,20,8.05,-20.4081,57.7
226,Pemangkat,75.02,91,90,7.09,1.1667,108.9667
227,Rocha,67.08,82,16,7.87,-34.4833,-54.3333
228,Šalčininkai,3.2,85,3,1.14,54.3,25.3833
229,Ribeira Grande,59.0,77,40,11.5,38.5167,-28.7
230,Bandarbeyla,75.27,80,30,17.67,9.4942,50.8122
231,Quatre Cocos,80.6,74,20,8.05,-20.2078,57.7625
232,Shingū,46.96,68,0,10.92,33.7333,135.9833
233,Mercedes,88.0,51,1,1.01,-34.6515,-59.4307
234,Cockburn Town,80.6,69,20,9.22,21.4612,-71.1419
235,Kimbe,82.62,74,34,1.39,-5.5502,150.1429
236,Jimma,61.57,53,32,1.52,7.6667,36.8333
237,Naze,59.0,67,40,4.61,28.3667,129.4833
238,Klaksvík,35.6,60,40,13.8,62.2266,-6.589
239,Hualmay,74.91,67,99,10.04,-11.0964,-77.6139
240,Quzhou,52.43,77,100,10.2,28.9594,118.8686
241,Bossangoa,70.52,23,44,1.45,6.4926,17.4552
242,Alice Springs,75.99,35,65,15.46,-23.7,133.8833
243,Bay Roberts,30.0,72,0,8.99,47.5999,-53.2648
244,Sorong,78.75,85,89,4.76,-0.8833,131.25
245,Hamilton,23.0,33,75,5.75,39.1834,-84.5333
246,Hasaki,33.8,80,75,1.14,35.7333,140.8333
247,Bandraboua,82.4,83,75,9.22,-12.7044,45.1223
248,Bengkulu,75.43,82,90,5.55,-3.8004,102.2655
249,Pietermaritzburg,77.0,94,98,1.32,-29.6168,30.3928
250,Maniitsoq,25.81,80,0,15.99,65.4167,-52.9
251,Chenghai,64.4,88,75,4.47,23.4632,116.768
252,Kiunga,75.4,97,100,1.88,-6.1219,141.2906
253,Pangnirtung,33.8,44,20,16.11,66.1451,-65.7125
254,Kuala Terengganu,77.0,94,40,2.3,5.3302,103.1408
255,Brenham,68.0,34,1,11.5,30.1669,-96.3977
256,Mount Isa,80.6,89,90,10.36,-20.7333,139.5
257,Talā,52.75,90,25,5.21,30.6803,30.9429
258,Uusikaupunki,21.2,86,0,3.44,60.8004,21.4084
259,Shaunavon,-14.8,64,57,2.3,49.6501,-108.4181
260,Salalah,71.6,73,75,5.75,17.0151,54.0924
261,Faya,57.2,47,0,9.22,18.3851,42.4509
262,Verāval,69.75,44,0,9.35,20.9,70.3667
263,Santa Rosa,77.0,83,20,1.14,14.3122,121.1114
264,Surazh,-2.61,92,24,4.43,53.0175,32.3918
265,Shache,28.94,83,11,2.35,38.4167,77.2406
266,Noumea,80.6,74,0,3.44,-22.2763,166.4572
267,Paamiut,28.42,85,80,8.88,61.994,-49.6678
268,Mujiayingzi,2.62,86,0,6.85,42.1167,118.7833
269,Eydhafushi,81.3,71,26,8.93,5.1033,73.0708
270,Bairiki Village,82.4,83,20,11.5,1.3292,172.9752
271,Saint George,63.0,18,1,3.51,37.1041,-113.5841
272,Natitingou,82.4,30,5,2.3,10.3042,1.3796
273,Kiryat Gat,57.0,100,27,2.46,31.61,34.7642
274,Okhotsk,12.61,89,100,22.73,59.3833,143.3
275,Knysna,60.8,94,0,6.91,-34.0363,23.0471
276,Ambilobe,73.96,92,68,2.59,-13.2,49.05
277,Grand Gaube,75.99,86,64,1.01,-20.0064,57.6608
278,Porto Velho,82.4,78,75,5.75,-8.7619,-63.9039
279,Maposeni,67.84,93,100,1.19,-10.5833,35.4
280,Coyhaique,78.8,29,0,8.05,-45.5752,-72.0662
281,Mayumba,79.18,85,100,5.19,-3.432,10.6554
282,San Cristobal,84.2,58,40,5.75,7.7669,-72.225
283,Phan Thiet,71.04,87,50,7.58,10.9333,108.1
284,Shambu,49.84,48,23,1.03,9.5667,37.1
285,Bilibino,0.48,76,0,6.35,68.0546,166.4372
286,Metu,56.59,44,0,2.37,8.3,35.5833
287,Saint-François,39.2,81,90,2.3,46.4154,3.9054
288,Wangaratta,59.0,72,9,6.91,-36.3667,146.3333
289,Kyrylivka,31.41,89,100,14.34,46.3759,35.3675
290,Tolaga Bay,66.49,62,16,9.04,-38.3667,178.3
291,Avera,53.6,62,40,6.91,33.194,-82.5271
292,Altamira,77.0,94,75,3.44,-3.2033,-52.2064
293,Bud,14.0,54,100,4.56,39.447,-86.1758
294,Severo-Yeniseyskiy,18.97,94,88,15.19,60.3725,93.0408
295,Scarborough,34.0,69,100,11.01,54.2797,-0.4044
296,Lebanon,35.01,64,75,4.61,36.2081,-86.2911
297,Geraldton,68.0,83,75,9.22,-28.7667,114.6
298,Rimbey,-13.0,64,0,5.75,52.6334,-114.2353
299,Dafeng,67.59,63,30,0.74,23.4517,108.5881
300,Liberty,54.0,66,40,9.22,31.8335,-81.5004
301,Bethel,30.2,86,90,4.61,41.3712,-73.414
302,College,-7.01,70,20,4.61,64.8569,-147.8028
303,Aklavik,-22.0,76,90,11.5,68.2191,-135.0107
304,Rodrigues Alves,89.6,70,75,3.44,-7.738,-72.6509
305,Banff,3.2,51,100,2.3,51.1762,-115.5698
306,Daru,79.72,83,65,9.84,-9.0763,143.2092
307,Vostok,-15.92,89,100,3.8,46.4856,135.8833
308,Yulara,69.8,40,2,5.75,-25.2406,130.9889
309,Puerto Suárez,87.8,35,0,6.91,-18.95,-57.8
310,Viedma,62.01,62,71,1.01,-40.8135,-62.9967
311,Havelock,46.4,71,75,17.27,34.8791,-76.9013
312,Saint-Pierre,80.6,69,75,4.61,-21.3393,55.4781
313,Roald,23.0,50,0,12.66,62.5833,6.1333
314,Nabire,76.75,79,78,2.55,-3.3667,135.4833
315,Paka,77.0,94,24,2.3,4.6374,103.4368
316,Sittwe,67.19,55,0,17.92,20.15,92.9
317,Ozernovskiy,19.09,90,100,14.29,51.5,156.5167
318,Nur-Sultan,19.4,93,40,6.71,51.1801,71.446
319,Souillac,80.6,74,20,8.05,-20.5167,57.5167
320,Ahipara,71.13,60,9,9.01,-35.1667,173.1667
321,Petropavlovsk-Kamchatskiy,21.2,93,75,2.24,53.0452,158.6483
322,Kaeo,69.01,76,32,7.0,-35.1,173.7833
323,Orativ,12.51,96,100,13.15,49.1889,29.527
324,Hatillo,82.0,68,3,3.0,18.4863,-66.8254
325,Mae Hong Son,63.37,87,95,1.63,19.3003,97.9685
326,Katangli,3.74,93,100,17.72,51.7102,143.2326
327,Pierre,-0.4,71,90,12.66,44.3683,-100.351
328,Bathsheba,78.8,65,40,17.27,13.2167,-59.5167
329,Agadez,66.85,21,100,7.63,19.75,10.25
330,Oranjestad,80.6,74,20,18.41,12.524,-70.027
331,Samarai,83.55,71,99,3.58,-10.6167,150.6667
332,São Simão,82.4,51,0,11.5,-21.4792,-47.5508
333,Auki,82.72,77,9,6.22,-8.7676,160.7034
334,Lorengau,82.9,73,99,2.86,-2.0226,147.2712
335,Saint Anthony,-2.2,45,1,6.91,45.0205,-93.218
336,Marsh Harbour,76.71,84,32,13.27,26.5412,-77.0636
337,Tautira,86.0,70,20,6.91,-17.7333,-149.15
338,Kropotkin,24.66,98,100,3.24,45.4375,40.5756
339,Voskresenskoye,-19.61,86,40,8.16,56.8381,45.4317
340,El Reno,35.6,93,90,12.66,35.5323,-97.955
341,Olafsvik,35.85,79,24,13.8,64.8945,-23.7142
342,Três Lagoas,75.99,69,44,5.17,-20.7511,-51.6783
343,Batagay-Alyta,-33.12,78,0,1.86,67.8006,130.4114
344,Port Hardy,41.0,75,40,9.22,50.6996,-127.4199
345,Mamit,48.72,86,0,2.39,23.9333,92.4833
346,Amga,-35.05,81,7,0.85,60.8953,131.9608
347,Haines Junction,-9.4,49,19,2.3,60.7522,-137.5108
348,Rognan,24.01,93,96,0.87,67.0953,15.3878
349,Arrondissement de Pontivy,37.99,80,0,9.22,48.0,-3.0
350,Cookeville,28.4,86,90,5.75,36.1628,-85.5016
351,Acopiara,82.6,40,41,3.06,-6.0953,-39.4525
352,Portland,48.99,57,75,12.66,45.5234,-122.6762
353,Shimoda,41.0,66,0,1.99,34.6667,138.95
354,Namatanai,82.69,75,94,4.29,-3.6667,152.4333
355,Sobolevo,-1.91,93,26,5.61,54.4299,31.8996
356,Chapada dos Guimarães,87.8,42,0,6.91,-15.4606,-55.7497
357,Flin Flon,-25.6,56,1,13.8,54.7682,-101.865
358,Bārmer,57.88,35,0,2.86,25.75,71.3833
359,Pontes e Lacerda,80.11,63,93,2.91,-15.2261,-59.3353
360,Northam,35.01,73,25,14.0,51.0333,-4.2167
361,Lompoc,64.99,72,1,14.97,34.6391,-120.4579
362,Turochak,25.68,97,100,1.68,52.2576,87.1224
363,Nova Petrópolis,68.0,79,0,3.0,-29.3764,-51.1144
364,Tostedt,26.6,50,90,20.71,53.2833,9.7167
365,Bafra,44.6,93,75,3.44,41.5678,35.9069
366,Chernyshevskiy,-0.15,94,100,4.45,63.0128,112.4714
367,Nānākuli,78.8,41,20,8.05,21.3906,-158.1547
368,Presidencia Roque Sáenz Peña,87.78,24,0,6.44,-26.7852,-60.4388
369,Ketchikan,32.0,64,1,11.5,55.3422,-131.6461
370,Bangkal,77.81,89,100,5.32,6.0667,121.0667
371,Conceição da Barra,75.51,90,100,4.81,-18.5933,-39.7322
372,Tadine,79.95,75,76,3.36,-21.55,167.8833
373,Beloha,75.22,93,12,6.78,-25.1667,45.05
374,Venado Tuerto,90.0,63,0,1.99,-33.7456,-61.9688
375,Kavaratti,80.62,69,17,8.66,10.5669,72.642
376,Yatou,27.05,83,0,12.95,37.15,122.3833
377,Choix,83.17,19,0,6.91,26.7092,-108.3219
378,Kalmunai,76.53,88,22,10.31,7.4167,81.8167
379,Batemans Bay,64.99,72,32,1.01,-35.7167,150.1833
380,Lillooet,33.8,69,75,8.05,50.6856,-121.942
381,Narsaq,37.4,28,20,42.57,60.9167,-46.05
382,Helong,0.01,84,18,6.69,42.5397,128.9972
383,Lata,57.0,99,100,14.0,40.1629,-8.3327
384,Kabansk,-9.4,84,45,4.47,52.0486,106.6528
385,Hofn,36.18,90,100,17.36,64.2539,-15.2082
386,Ghanzi,65.77,95,99,7.78,-21.5667,21.7833
387,Los Llanos de Aridane,62.6,72,0,4.61,28.6585,-17.9182
388,Panlaitan,80.26,75,98,3.69,12.1191,119.8486
389,San Pedro de Macorís,82.4,65,20,5.75,18.4616,-69.2972
390,Aranda de Duero,42.4,86,100,13.02,41.6704,-3.6892
391,Lázaro Cárdenas,80.69,61,0,8.08,17.9583,-102.2
392,Novoaltaysk,21.2,68,75,6.71,53.3917,83.9363
393,Orán,88.0,52,17,2.77,-23.1322,-64.326
394,Kemijärvi,9.09,94,27,7.07,66.7131,27.4306
395,Thongwa,73.22,59,91,4.52,16.7619,96.5278
396,Chachapoyas,65.59,72,62,4.56,-6.2317,-77.869
397,Lavrentiya,-8.97,85,0,8.01,65.5833,-171.0
398,Abū Zabad,63.25,29,23,11.01,12.35,29.25
399,Ciudad del Carmen,80.6,74,1,3.44,18.6333,-91.8333
400,Khryashchevka,-0.4,71,39,13.42,53.8119,49.0916
401,Monrovia,77.0,94,20,8.1,6.3005,-10.7969
402,Hobyo,77.59,80,1,18.75,5.3505,48.5268
403,Carballo,48.99,95,100,3.0,43.213,-8.691
404,Ruwi,68.0,73,0,5.75,23.5996,58.5507
405,Novouzensk,1.18,89,49,13.31,50.4592,48.1431
406,La Palma,71.01,52,1,4.61,33.8464,-118.0467
407,Bamiantong,-15.18,85,6,5.01,44.9333,130.5333
408,Ust-Kuyga,-28.88,81,0,0.11,70.0167,135.6
409,Poya,81.66,66,52,0.89,-21.35,165.15
410,La Maná,64.4,55,40,16.11,-0.9333,-79.2167
411,Chateaubelair,78.8,78,40,9.22,13.2833,-61.25
412,Tubinskiy,-5.8,59,40,11.18,52.8892,58.2225
413,Lüderitz,68.94,56,0,29.44,-26.6481,15.1594
414,Santa Maria,84.2,54,20,6.91,-29.6842,-53.8069
415,Fes,48.2,87,40,5.75,34.0372,-4.9998
416,Big Spring,75.2,9,1,17.27,32.2504,-101.4787
417,Mackay,82.99,83,51,3.44,-21.15,149.2
418,São Filipe,69.8,73,100,12.53,14.8961,-24.4956
419,Bolitoc,75.74,74,22,4.65,15.7395,119.8769
420,Daboh,52.66,55,0,2.84,26.0025,78.8761
421,Isangel,80.94,71,30,5.77,-19.55,169.2667
422,Dhaka,64.4,77,40,8.05,23.7104,90.4074
423,Severo-Kuril'sk,16.65,89,32,10.0,50.6789,156.125
424,Cajimos,79.11,83,85,20.4,12.5946,122.2753
425,Nyurba,-0.8,92,100,6.64,63.2842,118.3319
426,Kajaani,8.6,92,75,1.14,64.2273,27.7285
427,Gladstone,80.6,83,90,3.44,-23.85,151.25
428,Coquimbo,66.2,63,0,10.36,-29.9533,-71.3436
429,Fortaleza,82.4,78,0,6.91,-3.7227,-38.5247
430,San Patricio,75.2,35,1,14.97,28.017,-97.5169
431,Coihueco,75.2,53,75,9.22,-36.6167,-71.8333
432,Gardner,28.4,93,90,6.91,42.5751,-71.9981
433,Henties Bay,64.99,87,76,5.01,-22.116,14.2845
434,Biankouma,78.22,58,35,2.84,7.7391,-7.6138
435,Charter Township of Clinton,15.01,52,20,12.66,42.587,-82.9199
436,Sisimiut,24.13,79,8,13.89,66.9395,-53.6735
437,Kolāras,52.03,44,0,1.43,25.2333,77.6
438,Santa Vitória do Palmar,69.08,73,9,9.78,-33.5189,-53.3681
439,Nísia Floresta,82.4,78,20,12.66,-6.0911,-35.2086
440,Iquitos,80.6,83,75,5.75,-3.7481,-73.2472
441,Camopi,72.91,98,100,3.42,3.1655,-52.3158
442,Neiafu,77.0,94,90,12.66,-18.65,-173.9833
443,Bardstown,30.2,29,1,3.44,37.8092,-85.4669
444,Durban,77.0,88,0,1.14,-29.8579,31.0292
445,Jiblah,56.79,75,16,1.12,13.9216,44.1467
446,Sattahip,73.4,94,0,4.61,12.6664,100.9007
